[2025-05-09 11:04:39.005] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.89
[2025-05-09 11:04:39.006] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.89
[2025-05-09 11:04:40.040] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.63
[2025-05-09 11:04:40.042] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.63
[2025-05-09 11:04:45.075] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.95
[2025-05-09 11:04:45.079] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.95
[2025-05-09 11:05:13.571] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.64
[2025-05-09 11:05:13.574] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.64
[2025-05-09 11:05:14.670] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.51
[2025-05-09 11:05:14.672] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.51
[2025-05-09 11:05:15.673] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.68
[2025-05-09 11:05:15.674] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.68
[2025-05-09 11:05:16.750] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.86
[2025-05-09 11:05:16.752] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.86
[2025-05-09 11:05:17.873] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.64
[2025-05-09 11:05:17.876] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.64
[2025-05-09 11:05:18.916] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.86
[2025-05-09 11:05:18.919] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.86
[2025-05-09 11:05:19.926] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.67
[2025-05-09 11:05:19.928] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.67
[2025-05-09 11:05:20.937] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.88
[2025-05-09 11:05:20.940] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.88
[2025-05-09 11:05:21.973] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.64
[2025-05-09 11:05:21.976] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.64
[2025-05-09 11:05:22.972] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.87
[2025-05-09 11:05:22.974] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.87
[2025-05-09 11:05:23.985] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.91
[2025-05-09 11:05:23.989] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.91
[2025-05-09 11:05:24.995] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.59
[2025-05-09 11:05:24.999] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.59
[2025-05-09 11:05:26.014] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.52
[2025-05-09 11:05:26.016] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.52
[2025-05-09 11:05:27.021] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.96
[2025-05-09 11:05:27.022] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.96
[2025-05-09 11:05:32.067] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.63
[2025-05-09 11:05:32.070] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.63
[2025-05-09 11:05:33.075] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.91
[2025-05-09 11:05:33.076] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.91
[2025-05-09 11:05:34.127] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.94
[2025-05-09 11:05:34.129] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.94
[2025-05-09 11:05:35.142] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.59
[2025-05-09 11:05:35.145] [INFO] [FACE_RECOGNITION] :: face_recognized:False | person_name:Unknown | confidence:0.59
[2025-05-09 11:05:36.147] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.96
[2025-05-09 11:05:36.149] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.96
[2025-05-09 11:05:37.152] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.94
[2025-05-09 11:05:37.153] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.94
[2025-05-09 11:05:38.161] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.97
[2025-05-09 11:05:38.162] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_1 | confidence:0.97
[2025-05-09 11:05:39.171] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.93
[2025-05-09 11:05:39.174] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_3 | confidence:0.93
[2025-05-09 11:05:44.238] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.96
[2025-05-09 11:05:44.239] [INFO] [FACE_RECOGNITION] :: face_recognized:True | person_name:Person_2 | confidence:0.96
