[2025-05-04 17:34:35.592] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360275592
[2025-05-04 17:34:37.083] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360277083
[2025-05-04 17:34:38.090] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360278090
[2025-05-04 17:34:39.090] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360279090
[2025-05-04 17:34:40.090] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360280090
[2025-05-04 17:34:41.582] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360281582
[2025-05-04 17:34:42.587] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360282587
[2025-05-04 17:34:44.093] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360284093
[2025-05-04 17:34:45.581] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360285581
[2025-05-04 17:34:46.592] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360286592
[2025-05-04 17:34:48.085] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360288085
[2025-05-04 17:34:49.088] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360289088
[2025-05-04 17:34:50.092] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360290092
[2025-05-04 17:34:51.587] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360291587
[2025-05-04 17:34:52.591] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360292591
[2025-05-04 17:34:53.592] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360293592
[2025-05-04 17:34:54.592] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360294592
[2025-05-04 17:34:56.080] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360296080
[2025-05-04 17:34:57.091] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360297091
[2025-05-04 17:34:58.579] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360298579
[2025-05-04 17:34:59.588] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360299588
[2025-05-04 17:35:00.590] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360300590
[2025-05-04 17:35:02.081] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360302081
[2025-05-04 17:35:03.089] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360303089
[2025-05-04 17:35:04.592] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360304590
[2025-05-04 17:35:06.079] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360306079
[2025-05-04 17:35:07.079] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360307079
[2025-05-04 17:35:08.590] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360308590
[2025-05-04 17:35:10.089] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360310089
[2025-05-04 17:35:11.590] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360311590
[2025-05-04 17:35:13.085] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360313085
[2025-05-04 17:35:14.591] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360314591
[2025-05-04 17:35:16.078] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360316078
[2025-05-04 17:35:17.085] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360317085
[2025-05-04 17:42:14.133] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360734133
[2025-05-04 17:42:15.225] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360735224
[2025-05-04 17:42:16.316] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360736316
[2025-05-04 17:42:17.412] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360737412
[2025-05-04 17:42:18.517] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360738517
[2025-05-04 17:42:19.531] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360739530
[2025-05-04 17:42:20.545] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360740545
[2025-05-04 17:42:21.583] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360741583
[2025-05-04 17:42:22.675] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360742675
[2025-05-04 17:42:23.766] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360743766
[2025-05-04 17:42:24.866] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360744866
[2025-05-04 17:42:25.964] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360745964
[2025-05-04 17:42:27.049] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360747049
[2025-05-04 17:42:28.049] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360748049
[2025-05-04 17:42:29.125] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360749125
[2025-05-04 17:42:30.231] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360750231
[2025-05-04 17:42:31.312] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360751312
[2025-05-04 17:42:32.406] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360752406
[2025-05-04 17:42:33.504] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360753504
[2025-05-04 17:42:34.565] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360754565
[2025-05-04 17:42:35.593] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360755593
[2025-05-04 17:42:36.693] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360756693
[2025-05-04 17:42:37.782] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360757782
[2025-05-04 17:42:38.879] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360758879
[2025-05-04 17:42:39.983] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360759983
[2025-05-04 17:42:41.065] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360761065
[2025-05-04 17:42:42.065] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360762065
[2025-05-04 17:42:43.065] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360763065
[2025-05-04 17:42:44.125] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360764125
[2025-05-04 17:43:54.734] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360834734
[2025-05-04 17:43:55.828] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360835828
[2025-05-04 17:43:56.928] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360836928
[2025-05-04 17:43:58.044] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360838044
[2025-05-04 17:43:59.044] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360839044
[2025-05-04 17:44:00.111] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360840111
[2025-05-04 17:44:01.144] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360841144
[2025-05-04 17:44:02.240] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360842240
[2025-05-04 17:44:03.334] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360843334
[2025-05-04 17:44:04.426] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360844426
[2025-05-04 17:44:05.522] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360845522
[2025-05-04 17:44:06.610] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360846610
[2025-05-04 17:44:07.621] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360847621
[2025-05-04 17:44:08.704] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360848704
[2025-05-04 17:44:09.804] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360849804
[2025-05-04 17:44:10.893] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360850893
[2025-05-04 17:44:11.992] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360851992
[2025-05-04 17:44:13.091] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360853091
[2025-05-04 17:44:14.092] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360854092
[2025-05-04 17:44:15.127] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360855127
[2025-05-04 17:44:16.159] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360856159
[2025-05-04 17:44:17.258] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360857258
[2025-05-04 17:44:18.355] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360858355
[2025-05-04 17:44:19.437] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360859437
[2025-05-04 17:45:13.621] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360913621
[2025-05-04 17:45:14.708] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360914708
[2025-05-04 17:45:15.806] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360915806
[2025-05-04 17:45:16.902] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360916902
[2025-05-04 17:45:17.990] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360917990
[2025-05-04 17:45:19.022] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746360919022
[2025-05-04 17:55:47.981] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361547981
[2025-05-04 17:55:48.986] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361548985
[2025-05-04 17:55:50.084] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361550084
[2025-05-04 17:55:51.167] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361551167
[2025-05-04 17:55:52.170] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361552170
[2025-05-04 17:55:53.253] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361553253
[2025-05-04 17:55:54.345] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361554345
[2025-05-04 17:58:52.709] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361732709
[2025-05-04 17:58:53.809] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361733809
[2025-05-04 17:58:54.893] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361734893
[2025-05-04 17:58:55.993] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361735993
[2025-05-04 17:58:57.079] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746361737079
[2025-05-04 18:17:02.933] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746362822933
[2025-05-04 18:17:04.041] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746362824041
[2025-05-04 18:17:05.074] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746362825074
[2025-05-04 18:17:06.114] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746362826114
[2025-05-04 18:17:07.216] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746362827216
[2025-05-04 18:17:08.297] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746362828297
[2025-05-04 18:22:27.563] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363147563
[2025-05-04 18:22:28.583] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363148583
[2025-05-04 18:22:29.595] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363149595
[2025-05-04 18:22:30.612] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363150612
[2025-05-04 18:22:31.614] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363151614
[2025-05-04 18:22:32.622] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363152622
[2025-05-04 18:22:33.694] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363153694
[2025-05-04 18:22:34.789] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363154789
[2025-05-04 18:22:35.878] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363155878
[2025-05-04 18:22:36.969] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363156969
[2025-05-04 18:22:38.067] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363158067
[2025-05-04 18:22:39.121] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363159121
[2025-05-04 18:22:40.158] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363160158
[2025-05-04 18:22:41.254] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363161254
[2025-05-04 18:22:42.345] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363162345
[2025-05-04 18:22:43.444] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363163444
[2025-05-04 18:22:44.544] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363164544
[2025-05-04 18:22:45.625] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363165625
[2025-05-04 18:22:46.628] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363166628
[2025-05-04 18:22:47.629] FIRE_DETECTION :: camera_id:None | bounding_box: | timestamp_ms:1746363167629
