[2025-05-09 11:04:39.013] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:04:39.014] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:04:40.045] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 11:04:40.046] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 11:04:45.093] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 11:04:45.097] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 11:05:13.575] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-09 11:05:13.576] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-09 11:05:14.677] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:14.679] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:15.678] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 11:05:15.679] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-09 11:05:16.758] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 11:05:16.761] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 11:05:17.885] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:05:17.886] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:05:18.922] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 11:05:18.924] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 11:05:19.932] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 11:05:19.934] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-09 11:05:20.946] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 11:05:20.949] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-09 11:05:21.979] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-09 11:05:21.980] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-09 11:05:22.977] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 11:05:22.979] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-09 11:05:23.994] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:23.998] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:25.017] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 11:05:25.020] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.8
[2025-05-09 11:05:26.020] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 11:05:26.022] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 11:05:27.024] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 11:05:27.026] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.86
[2025-05-09 11:05:32.079] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 11:05:32.082] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-09 11:05:33.078] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 11:05:33.080] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-09 11:05:34.131] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 11:05:34.132] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 11:05:35.149] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 11:05:35.151] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 11:05:36.153] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:05:36.155] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:05:37.155] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:05:37.156] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:05:38.165] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:38.166] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:39.178] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 11:05:39.181] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-09 11:05:44.248] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 11:05:44.250] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.78
[2025-05-09 11:05:45.265] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 11:05:45.270] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 11:05:50.356] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 11:05:50.359] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.77
[2025-05-09 11:05:51.423] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:05:51.429] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:05:52.518] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 11:05:52.519] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.88
[2025-05-09 11:05:53.633] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 11:05:53.636] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-09 11:05:54.735] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-09 11:05:54.739] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-09 11:05:55.802] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:55.805] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:05:56.906] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 11:05:56.909] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-09 11:05:57.961] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:05:57.965] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:06:03.134] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 11:06:03.136] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.89
[2025-05-09 11:06:04.171] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:06:04.173] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-09 11:06:05.244] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:06:05.248] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-09 11:06:06.349] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:06:06.351] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:06:07.440] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:06:07.441] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-09 11:06:08.539] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 11:06:08.539] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-09 11:06:09.625] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:06:09.627] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:06:10.640] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 11:06:10.641] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 11:06:11.726] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:06:11.727] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.94
[2025-05-09 11:06:12.764] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 11:06:12.767] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-09 11:06:15.696] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 11:06:15.709] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-09 11:08:16.428] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:08:16.429] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.83
[2025-05-09 11:08:17.517] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:08:17.518] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-09 11:08:18.623] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:08:18.626] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-09 11:08:19.815] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 11:08:19.818] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.83
[2025-05-09 11:08:20.864] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 11:08:20.865] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.85
[2025-05-09 11:08:21.886] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-09 11:08:21.889] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-09 11:08:22.899] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 11:08:22.903] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-09 11:43:04.693] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-09 11:43:04.694] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-09 11:43:05.773] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
