[2025-05-11 15:58:44.402] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 15:58:44.403] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 15:58:46.522] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 15:58:46.524] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 15:58:47.607] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-11 15:58:47.609] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-11 15:58:48.678] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-11 15:58:48.681] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.91
[2025-05-11 15:58:49.699] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-11 15:58:49.702] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-11 15:58:50.435] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 15:58:50.435] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 15:58:50.791] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-11 15:58:50.800] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-11 15:58:51.877] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 15:58:51.883] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 15:58:52.907] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-11 15:58:52.911] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.96
[2025-05-11 15:58:53.921] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-11 15:58:53.927] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-11 15:58:54.923] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 15:58:54.925] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 15:58:55.931] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 15:58:55.940] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 15:58:56.925] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-11 15:58:56.929] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-11 15:58:57.933] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-11 15:58:57.934] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.85
[2025-05-11 15:59:02.955] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-11 15:59:02.961] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-11 15:59:03.958] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 15:59:03.965] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.76
[2025-05-11 15:59:04.984] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 15:59:04.987] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 15:59:06.001] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-11 15:59:06.006] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.96
[2025-05-11 15:59:07.004] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-11 15:59:07.007] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-11 15:59:08.017] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-11 15:59:08.017] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.92
[2025-05-11 15:59:09.055] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 15:59:09.058] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 15:59:10.099] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 15:59:10.103] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 15:59:11.185] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 15:59:11.188] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
[2025-05-11 15:59:12.295] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 15:59:12.309] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.76
[2025-05-11 15:59:13.380] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-11 15:59:13.387] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.95
[2025-05-11 15:59:14.474] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-11 15:59:14.477] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.94
[2025-05-11 15:59:15.573] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 15:59:15.579] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 15:59:16.609] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 15:59:16.613] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.82
[2025-05-11 15:59:21.638] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-11 15:59:21.641] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.79
[2025-05-11 15:59:22.710] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.88
[2025-05-11 15:59:22.717] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.88
[2025-05-11 15:59:23.810] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 15:59:23.814] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 15:59:24.894] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 15:59:24.902] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 15:59:25.991] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 15:59:25.994] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.78
[2025-05-11 15:59:27.080] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-11 15:59:27.081] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.87
[2025-05-11 15:59:28.139] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 15:59:28.140] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.86
[2025-05-11 15:59:29.164] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 15:59:29.168] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.93
[2025-05-11 15:59:34.200] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 15:59:34.203] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 15:59:35.203] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 15:59:35.204] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 15:59:40.233] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 15:59:40.234] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.98
[2025-05-11 15:59:41.240] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 15:59:41.250] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.93
[2025-05-11 15:59:42.329] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-11 15:59:42.332] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.98
[2025-05-11 15:59:43.428] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 15:59:43.436] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.95
[2025-05-11 15:59:44.522] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-11 15:59:44.532] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.81
[2025-05-11 15:59:45.616] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-11 15:59:45.618] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.91
[2025-05-11 15:59:46.709] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 15:59:46.720] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.8
[2025-05-11 15:59:47.738] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-11 15:59:47.740] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.87
[2025-05-11 15:59:52.772] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-11 15:59:52.776] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.84
[2025-05-11 15:59:53.786] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-11 15:59:53.787] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.81
[2025-05-11 15:59:58.814] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 15:59:58.822] [WARNING] [FIRE_DETECTION] :: fire_detected:True | confidence:0.97
[2025-05-11 15:59:59.834] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-11 15:59:59.835] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.92
[2025-05-11 16:00:04.859] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-11 16:00:04.861] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.9
[2025-05-11 16:00:05.916] [WARNING] [FIRE_DETECTION] :: fire_detected:False | confidence:0.82
