[2025-05-03 18:07:30.726] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746275850726
[2025-05-03 18:07:30.801] HELMET_DETECTION :: camera_id:None | confidence:0.83 | timestamp_ms:1746275850801
[2025-05-03 18:07:30.858] HELMET_DETECTION :: camera_id:None | confidence:0.91 | timestamp_ms:1746275850858
[2025-05-03 18:07:30.922] HELMET_DETECTION :: camera_id:None | confidence:0.93 | timestamp_ms:1746275850922
[2025-05-03 18:07:30.981] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746275850981
[2025-05-03 18:07:31.066] HELMET_DETECTION :: camera_id:None | confidence:0.81 | timestamp_ms:1746275851066
[2025-05-03 18:07:31.109] HELMET_DETECTION :: camera_id:None | confidence:0.82 | timestamp_ms:1746275851109
[2025-05-03 18:07:31.176] HELMET_DETECTION :: camera_id:None | confidence:0.87 | timestamp_ms:1746275851176
[2025-05-03 18:07:31.236] HELMET_DETECTION :: camera_id:None | confidence:0.97 | timestamp_ms:1746275851236
[2025-05-03 18:07:31.294] HELMET_DETECTION :: camera_id:None | confidence:0.86 | timestamp_ms:1746275851294
[2025-05-03 18:07:31.361] HELMET_DETECTION :: camera_id:None | confidence:0.88 | timestamp_ms:1746275851361
[2025-05-03 18:07:31.414] HELMET_DETECTION :: camera_id:None | confidence:0.89 | timestamp_ms:1746275851414
[2025-05-03 18:07:31.474] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746275851474
[2025-05-03 18:07:31.537] HELMET_DETECTION :: camera_id:None | confidence:0.93 | timestamp_ms:1746275851537
[2025-05-03 18:07:31.601] HELMET_DETECTION :: camera_id:None | confidence:0.95 | timestamp_ms:1746275851601
[2025-05-03 18:07:31.667] HELMET_DETECTION :: camera_id:None | confidence:0.89 | timestamp_ms:1746275851667
[2025-05-03 18:07:31.732] HELMET_DETECTION :: camera_id:None | confidence:0.9 | timestamp_ms:1746275851732
[2025-05-03 18:07:31.789] HELMET_DETECTION :: camera_id:None | confidence:0.96 | timestamp_ms:1746275851789
[2025-05-03 18:07:31.854] HELMET_DETECTION :: camera_id:None | confidence:0.9 | timestamp_ms:1746275851854
[2025-05-03 18:07:31.915] HELMET_DETECTION :: camera_id:None | confidence:0.87 | timestamp_ms:1746275851915
[2025-05-03 18:07:31.975] HELMET_DETECTION :: camera_id:None | confidence:0.8 | timestamp_ms:1746275851975
