[2025-05-08 10:56:34.408] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 10:56:34.409] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 10:56:36.558] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 10:56:36.559] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.87
[2025-05-08 10:56:38.746] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 10:56:38.748] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-08 10:56:40.851] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-08 10:56:40.852] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-08 10:56:42.871] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 10:56:42.873] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-08 10:56:44.887] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.88
[2025-05-08 10:56:44.888] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.88
[2025-05-08 10:56:46.899] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 10:56:46.902] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-08 10:56:48.906] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-08 10:56:48.907] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-08 10:56:51.102] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 10:56:51.102] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.96
[2025-05-08 10:56:53.284] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 10:56:53.285] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 10:56:55.426] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 10:56:55.428] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-08 10:56:57.460] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-08 10:56:57.460] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-08 10:56:59.657] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 10:56:59.659] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.95
[2025-05-08 11:01:17.777] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.82
[2025-05-08 11:01:17.778] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.82
[2025-05-08 11:04:40.708] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-08 11:04:40.709] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-08 11:04:42.812] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:04:42.813] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.86
[2025-05-08 11:04:45.018] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-08 11:04:45.020] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-08 11:04:47.178] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:04:47.179] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-08 11:04:49.392] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-08 11:04:49.396] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
[2025-05-08 11:04:51.585] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:04:51.599] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-08 11:04:53.694] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.93
[2025-05-08 11:04:53.698] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.93
[2025-05-08 11:04:55.842] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:04:55.843] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.84
[2025-05-08 11:04:58.020] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-08 11:04:58.021] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-08 11:05:00.219] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-08 11:05:00.221] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.89
[2025-05-08 11:05:02.292] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-08 11:05:02.294] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-08 11:05:04.480] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:05:04.482] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.9
[2025-05-08 11:05:06.652] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-08 11:05:06.653] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-08 11:05:08.825] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
[2025-05-08 11:05:08.826] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.98
