[2025-05-09 12:06:43.779] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-09 12:06:43.780] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.96
[2025-05-09 12:06:45.871] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 12:06:45.874] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 12:06:48.064] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 12:06:48.065] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.92
[2025-05-09 12:06:50.146] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 12:06:50.146] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 12:06:52.213] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.99
[2025-05-09 12:06:52.214] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.99
[2025-05-09 12:06:54.287] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.94
[2025-05-09 12:06:54.291] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.94
[2025-05-09 12:06:56.467] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-09 12:06:56.470] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.91
[2025-05-09 12:06:58.660] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-09 12:06:58.662] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-09 12:20:16.182] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-09 12:20:16.183] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.92
[2025-05-09 12:20:18.313] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 12:20:18.314] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.97
[2025-05-09 12:20:20.446] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-09 12:20:20.448] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-09 12:20:22.543] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 12:20:22.545] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.82
[2025-05-09 12:20:24.717] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 12:20:24.720] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 12:20:26.830] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-09 12:20:26.832] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.85
[2025-05-09 12:20:28.999] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-09 12:20:29.002] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.81
[2025-05-09 12:20:31.185] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-09 12:20:31.188] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.98
[2025-05-09 12:20:33.280] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 12:20:33.283] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.84
[2025-05-09 12:20:35.285] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.94
[2025-05-09 12:20:35.288] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.94
[2025-05-09 12:20:37.348] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 12:20:37.349] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.95
[2025-05-09 12:20:39.562] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-09 12:20:39.565] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.91
[2025-05-09 12:20:41.707] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-09 12:20:41.709] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.9
[2025-05-09 12:20:43.839] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-09 12:20:43.842] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.86
[2025-05-09 12:20:45.928] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-09 12:20:45.929] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.83
[2025-05-09 12:20:48.127] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 12:20:48.131] [DEBUG] [HELMET_DETECTION] :: helmet_detected:True | confidence:0.89
[2025-05-09 12:20:50.223] [DEBUG] [HELMET_DETECTION] :: helmet_detected:False | confidence:0.88
