[2025-05-05 17:09:23.471] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.81
[2025-05-05 17:09:23.471] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.81
[2025-05-05 17:09:23.565] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.71
[2025-05-05 17:09:23.566] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.71
[2025-05-05 17:09:23.677] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:23.678] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:23.772] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:23.774] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:23.787] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:23.788] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.78
[2025-05-05 17:09:23.888] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:23.888] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:23.994] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:23.995] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:24.106] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.76
[2025-05-05 17:09:24.107] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.76
[2025-05-05 17:09:24.245] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:24.247] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:24.277] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.9
[2025-05-05 17:09:24.278] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.9
[2025-05-05 17:09:24.345] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:24.346] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.85
[2025-05-05 17:09:24.441] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.71
[2025-05-05 17:09:24.442] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.71
[2025-05-05 17:09:24.545] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.92
[2025-05-05 17:09:24.547] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.92
[2025-05-05 17:09:24.662] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.72
[2025-05-05 17:09:24.664] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.72
[2025-05-05 17:09:24.765] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.73
[2025-05-05 17:09:24.766] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.73
[2025-05-05 17:09:24.778] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.72
[2025-05-05 17:09:24.779] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.72
[2025-05-05 17:09:24.883] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.94
[2025-05-05 17:09:24.885] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.94
[2025-05-05 17:09:24.993] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.77
[2025-05-05 17:09:24.995] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.77
[2025-05-05 17:09:25.119] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.75
[2025-05-05 17:09:25.120] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.75
[2025-05-05 17:09:25.210] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.93
[2025-05-05 17:09:25.212] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.93
[2025-05-05 17:09:25.323] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.83
[2025-05-05 17:09:25.324] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.83
[2025-05-05 17:09:25.334] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:25.335] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.8
[2025-05-05 17:09:25.558] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:25.559] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.89
[2025-05-05 17:09:25.642] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:25.643] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.79
[2025-05-05 17:09:25.747] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:25.748] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.75
[2025-05-05 17:09:25.794] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.76
[2025-05-05 17:09:25.795] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.76
[2025-05-05 17:09:25.860] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.86
[2025-05-05 17:09:25.861] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.86
[2025-05-05 17:09:25.973] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.91
[2025-05-05 17:09:25.974] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.91
[2025-05-05 17:09:26.086] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.9
[2025-05-05 17:09:26.087] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.9
[2025-05-05 17:09:26.187] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:26.188] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.87
[2025-05-05 17:09:26.297] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.9
[2025-05-05 17:09:26.298] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.9
[2025-05-05 17:09:26.313] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:26.315] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.92
[2025-05-05 17:09:26.519] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.75
[2025-05-05 17:09:26.522] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.75
[2025-05-05 17:09:26.642] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.7
[2025-05-05 17:09:26.644] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.7
[2025-05-05 17:09:26.744] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:26.744] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.8
[2025-05-05 17:09:26.842] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:26.843] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.74
[2025-05-05 17:09:26.855] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.88
[2025-05-05 17:09:26.856] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.88
[2025-05-05 17:09:26.971] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.71
[2025-05-05 17:09:26.973] INTRUSION_DETECTION :: intrusion_detected:False | confidence:0.71
[2025-05-05 17:09:27.079] INTRUSION_DETECTION :: intrusion_detected:True | confidence:0.89
