[2025-05-08 10:56:34.416] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.81
[2025-05-08 10:56:34.417] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.81
[2025-05-08 10:56:35.482] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.89
[2025-05-08 10:56:35.483] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.89
[2025-05-08 10:56:36.564] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.81
[2025-05-08 10:56:36.565] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.81
[2025-05-08 10:56:37.649] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.94
[2025-05-08 10:56:37.651] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.94
[2025-05-08 10:56:38.753] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.77
[2025-05-08 10:56:38.754] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.77
[2025-05-08 10:56:39.839] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.73
[2025-05-08 10:56:39.841] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.73
[2025-05-08 10:56:40.854] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.85
[2025-05-08 10:56:40.856] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.85
[2025-05-08 10:56:41.856] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.83
[2025-05-08 10:56:41.857] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.83
[2025-05-08 10:56:42.876] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.86
[2025-05-08 10:56:42.877] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.86
[2025-05-08 10:56:43.891] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-08 10:56:43.894] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.88
[2025-05-08 10:56:44.889] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.86
[2025-05-08 10:56:44.891] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.86
[2025-05-08 10:56:45.888] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.81
[2025-05-08 10:56:45.889] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:True | confidence:0.81
[2025-05-08 10:56:46.904] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-08 10:56:46.906] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.74
[2025-05-08 10:56:47.919] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.93
[2025-05-08 10:56:47.921] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.93
[2025-05-08 10:56:48.908] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.82
[2025-05-08 10:56:48.908] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.82
[2025-05-08 10:56:50.000] [ALERT] [INTRUSION_DETECTION] :: intrusion_detected:False | confidence:0.83
